 call_number,_labels_ta,telaviv,author,title,city,publisher,year
אלג\אדל\א1,,1,"אדלער, יעקב","א מאל, א מאל",,,
אלג\אוי\ש1,,1,"אויסלענדער, ר - פ. וויינינגער",שאטנס אין שפיגל. לידער,תל אביב, ה. לייוויק פארלאג,1981
אלג\אוי\ו1,,1,"אויערבאך, אפרים",ווייסע שטאט,ניו יארק,נאציאנעלער קאונסיל פאר בעסאראבישער יידן,1952
אלג\אוי\ל1,,3,"אויערבאך, אפרים",לויטער איז דער אלטער קוואל,ניו יארק,,1940
אלג\אוי\א1,,1,"אויערבאך, רחל",אין לאנד ישראל,תל אביב,י. ל. פרץ,1964
אלג\אוי\ב1,,2,"אויערבאך, רחל",ביים לעצטן וועג,תל אביב,ישראל בוך,1977
אלג\איא\ט1,,1,"איאלטי, חנן",טאטע און זון,בוענאס איירעס,איאלטי קאמיטעט,1945
אלג\אפא\א1,,1,אפאטאשו,"Opatoshu, J. (1927). Ale verk fun Yosef Opatoshu. = געזאמלטע ווערק Vilne, *Vilner farlag fun B. *Klets*kin.",ווילנע,ב. קלעצקין פארלאג,1927
אלג\אפר\א1,,1,"אפרון, ידידיה","Efron, I. (1973). Amdur, mayn geboyrn-shtetl. Buenos-Ayres, Komitet tsu baern dem ondenk fun R. Yedidyah Efron.",בוענאס איירעס,קאמיטעט צו באערן דעם אנדענק פון ר. י. אפרון,1973
אלג\ארז\ש1,,1,"ארזשיצער, אברהם מרדכי",די שטאט מיט שמאלה הימלען,תל אביב,אייגענער,1962
אלג\ארם\מ1,,1,"ארם, משה",משנתו של בורוכוב במבחן  תקופתנו,תל אביב,,1973
אלג\ארנ\ג1,,1,"ארנשטיין, שמעון","Ornstein, S. (1980). Gerangl. Tel-Aviv, Farlag Y.L. Perets.",תל אביב,י. ל. פרץ,1980
אלג\ארצ\מ1,,1,"ארצישעווסקא, טעא",מרימל. דראמאטישער ציקל אין פופצן בילדער,פאריז,הויפטפארקויף: ציקא,1959
אלג\אשע\מ1,,1,"אשענדארף, ישראל",דער מלך שאול,לאדזש,,1948
אלג\אשע\ו1,,1,"אשענדארף, ישראל",וויי און וואנדער. לידער,פאריז,יאנקאוויטש,1950
אלג\אשע\ש1,,1,"אשענדארף, ישראל",שותפים פון גורל. דערציילונגען,פאריז,,1953
אלג\אשע\ו2,,1,אשעראוויטש,וואונדיקער בטחון: לידער און פאעמעס,תל אביב,ישראל בוך,1987
אלג\אשע\ל1,,1,אשעראוויטש,"Osherowitch, H. (1990). A liderheym : mit a heyder-meyuhed far undzere klasikers. Tel-Oviv, Farlag ""Yisroel-bukh"".",תל אביב,ישראל בוך,1990
אלג\אשע\ב1,,1,"אשעראוויטש, הירש","Osherowitch, H. (1979). Bloye bumerangn : lider un poemes. Tel-Oviv, Yiasroel-bukh.",תל אביב,ישראל בוך,1979
אלג\אשע\צ1,,1,"אשעראוויטש, הירש",צווישן בליץ און דונער,תל אביב,,1973
אלג\אשע\ק1,,2,"אשעראוויטש, מ",קיניגין מרים,ניו יארק,,1959
